actor,success_rate,movie_count
Aamir Khan,7.2,1
Aaron Taylor-Johnson,7.1,1
Adrien Brody,8.0,1
Akshay Kumar,7.3,1
Al Pacino,7.659999999999999,5
Alec Guinness,6.0,1
Alicia Vikander,7.6,1
Andrew Marton,7.2,1
Angelina Jolie,7.3,1
Anthony Hopkins,7.566666666666666,3
Anthony Perkins,8.2,1
Arnold Schwarzenegger,7.433333333333334,3
Arthur Rosson,7.3,1
Asa Butterfield,7.7,1
Ash Brannon,7.3,1
Audrey Hepburn,7.4,1
Barry Cook,7.6,1
Ben Affleck,7.5,2
Ben Kingsley,7.4,1
Benedict Cumberbatch,8.0,1
Bill Murray,6.666666666666667,3
Billy Bob Thornton,7.4,1
Billy Crudup,7.4,1
Billy Crystal,7.3,1
BjÃ¶rk,7.6,1
Bob Peterson,7.7,1
Brad Pitt,7.625,4
Bradley Cooper,6.9,1
Brian O'Halloran,7.4,1
Brie Larson,8.1,1
Brigitte Helm,8.0,1
Bruce Campbell,7.6,1
Bruce Dern,7.4,1
Bruce Willis,7.35,4
Burt Lancaster,7.2,1
Byron Howard,7.4,1
Cary Elwes,7.4,2
Charles Chaplin,7.05,2
Charlie Cox,7.1,1
Charlie Sheen,7.5,1
Charlton Heston,5.449999999999999,2
Chiwetel Ejiofor,7.9,1
Chris Pine,7.4,2
Chris Pratt,7.9,1
Chris Renaud,7.1,1
Chris Sanders,7.5,1
Chris Williams,7.8,1
Christian Bale,7.6,7
Christian Slater,7.5,1
Clark Gable,7.7,1
Cleavon Little,7.2,1
Clint Eastwood,7.5,4
Colin Farrell,7.4,1
Colin Firth,7.6,1
Craig T. Nelson,7.4,1
Cuba Gooding Jr.,7.4,1
Dakota Fanning,7.3,1
Damian Chapa,7.7,1
Daniel BrÃ¼hl,7.7,1
Daniel Craig,7.133333333333333,3
Daniel Day-Lewis,7.5,2
Daniel Radcliffe,7.533333333333334,3
Danny Aiello,7.6,1
Danny Glover,7.7,1
David Emge,6.8,1
David Lee Smith,7.7,1
David Silverman,7.5,1
David Zucker,7.1,1
Denzel Washington,7.3,7
Domhnall Gleeson,7.8,1
Don Cheadle,7.35,2
Donald Pleasence,7.4,1
Donald Sutherland,7.4,1
Duane Jones,7.5,1
Dustin Hoffman,7.5,2
Eddie Redmayne,7.8,1
Edward Norton,7.5,3
Eli Marienthal,7.6,1
Elijah Wood,8.033333333333333,3
Elizabeth Taylor,7.6,1
Ellar Coltrane,7.5,1
Ellen Burstyn,7.7,2
Emile Hirsch,7.8,1
Emilio EchevarrÃ­a,7.6,1
Emily Blunt,7.2,1
Emma Stone,7.8,1
Emma Thompson,7.2,1
Ernest B. Schoedsack,6.6,1
Ethan Coen,7.55,2
Ethan Hawke,7.55,4
Ewan McGregor,7.699999999999999,2
F. Murray Abraham,7.8,1
Faye Dunaway,7.7,1
Frank Langella,7.2,1
Frank Sinatra,6.2,1
Franka Potente,7.3,1
Gary Cooper,7.6,1
Gary Oldman,7.3,1
Gena Rowlands,7.7,1
Gene Hackman,7.433333333333334,3
Gene Kelly,7.8,1
Gene Wilder,7.550000000000001,2
Geoffrey Rush,7.3,1
George C. Scott,7.3,1
George Clooney,7.35,2
George Cukor,7.550000000000001,2
Gerard Butler,7.0,1
Gerardo Taracena,7.3,1
Glen Hansard,7.3,1
Gregory Peck,7.5,2
Guy Pearce,8.1,1
Harrison Ford,7.6,4
Harvey Keitel,8.0,1
Henry Fonda,8.149999999999999,2
Henry Thomas,7.3,1
Hilary Swank,7.7,1
Hugh Jackman,7.9,1
Hugo Weaving,7.7,1
Humphrey Bogart,7.9,1
Ian McKellen,7.6,1
Irrfan Khan,7.3,1
Ivana Baquero,7.6,1
J. Mackye Gruber,7.3,1
Jack Lemmon,8.1,1
Jack Nicholson,7.833333333333333,3
Jackie Earle Haley,7.0,1
Jake Gyllenhaal,7.459999999999999,5
James McAvoy,7.4,1
James Stewart,7.766666666666667,3
Jamie Bell,7.4,1
Jamie Foxx,7.5,2
Jan Pinkava,7.5,1
