director,success_rate,movie_count
Adam McKay,7.3,1
Alejandro AmenÃ¡bar,7.4,1
Alejandro G. IÃ±Ã¡rritu,7.366666666666667,3
Alex Garland,7.6,1
Alex Proyas,7.2,1
Alexander Mackendrick,6.0,1
Alexander Payne,7.4,1
Alfonso CuarÃ³n,7.466666666666666,3
Alfred Hitchcock,7.949999999999999,2
Andrei Tarkovsky,7.7,1
Andrew Adamson,7.3,1
Andrew Davis,7.2,1
Andrew Niccol,7.25,2
Andrew Stanton,7.6,1
Ang Lee,7.3,3
Anthony Russo,7.35,2
Antoine Fuqua,7.3,1
Anton Corbijn,7.5,1
Barry Levinson,7.449999999999999,2
Ben Affleck,7.1,1
Bennett Miller,7.0,1
Bernardo Bertolucci,7.4,1
Billy Bob Thornton,7.4,1
Billy Wilder,7.833333333333333,3
Boaz Yakin,7.4,1
Bob Clark,7.4,1
Bob Fosse,7.3,1
Brad Anderson,7.3,1
Brad Bird,7.5,3
Brian De Palma,7.8,2
Brian Henson,7.2,1
Bryan Singer,7.8,2
Cameron Crowe,7.4,1
Charles Chaplin,7.05,2
Charlie Kaufman,7.4,1
Chris Columbus,7.1,1
Christopher Miller,7.5,1
Christopher Nolan,7.942857142857142,7
Clint Eastwood,7.514285714285714,7
Curtis Hanson,7.7,1
Cy Endfield,6.7,1
Damien Chazelle,8.3,1
Dan Gilroy,7.6,1
Danny Boyle,7.699999999999999,2
Darren Aronofsky,7.5,3
David Ayer,7.2,1
David Cronenberg,7.2,1
David Fincher,7.5875,8
David Lean,7.633333333333333,3
David Lynch,7.800000000000001,2
David O. Russell,7.050000000000001,2
David Yates,7.4,1
Dean DeBlois,7.55,2
Denis Villeneuve,7.666666666666667,3
Don Hall,7.8,1
Don Siegel,7.2,1
Doug Liman,7.449999999999999,2
Duncan Jones,7.6,1
Edgar Wright,7.45,2
Edward Zwick,7.333333333333333,3
Elia Kazan,7.8,2
Eric Bress,7.3,1
Ethan Coen,7.45,2
F. Gary Gray,7.7,1
Florian Henckel von Donnersmarck,7.9,1
Francis Ford Coppola,7.859999999999999,5
Frank Capra,7.866666666666667,3
Frank Darabont,8.35,2
Frank Miller,7.2,1
Franklin J. Schaffner,6.449999999999999,2
Fred Zinnemann,7.433333333333334,3
Fritz Lang,8.0,1
Gabriele Muccino,7.6,2
Gavin O'Connor,7.7,1
George A. Romero,7.15,2
George Cukor,7.4,1
George Lucas,8.1,1
George Miller,7.2,1
George P. Cosmatos,7.4,1
George Roy Hill,7.65,2
Gore Verbinski,7.5,1
Greta Gerwig,7.0,1
Guillermo del Toro,7.6,1
Gus Van Sant,7.9,1
Guy Hamilton,7.2,1
Guy Ritchie,7.3999999999999995,3
Harold Ramis,7.4,1
Henry Selick,7.3,1
Howard Hawks,7.3,1
Ivan Reitman,5.3,1
J. Lee Thompson,7.0,1
J.J. Abrams,7.4,2
James Algar,7.2,1
James Cameron,7.4799999999999995,5
James Foley,7.5,1
James Frawley,7.0,1
James Gunn,7.9,1
James Ivory,7.5,1
