vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title
7.2,237000000,2787965087,150.437577,162.0,11800,2550965087,11.763565767932487,19.283570703318816,21.74857780752812,5.020173507037201,175,7.4799999999999995,7.2,7.6000000000000005,2009.0,10.0,2000.0,1,0,1,3,3,1,Avatar
6.9,300000000,961000000,139.082615,169.0,4500,661000000,3.203333333333333,19.519293035953808,20.68348496797515,4.942232355707408,176,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Pirates of the Caribbean: At World's End
6.3,245000000,880674609,107.376788,148.0,4466,635674609,3.5945902408163266,19.316768772590635,20.59619877401982,4.6856139332345075,240,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Spectre
7.6,250000000,1084939099,112.31295,165.0,9106,834939099,4.339756396,19.33697147982652,20.804789693331283,4.730153459825441,428,7.942857142857142,7.6,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Dark Knight Rises
6.1,260000000,284139100,43.926995,132.0,2124,24139100,1.0928426923076924,19.376192192825954,19.46497446846993,3.805038839029222,342,7.5,7.5,7.5200000000000005,2012.0,7.0,2010.0,1,1,1,3,2,1,John Carter
5.9,258000000,890871626,115.699814,139.0,3576,632871626,3.4529907984496124,19.36847014676186,20.607710897613856,4.759604945460906,287,7.5,7.5,7.5200000000000005,2007.0,1.0,2000.0,1,0,1,3,0,1,Spider-Man 3
7.4,260000000,591794936,48.681969,100.0,3330,331794936,2.2761343692307694,19.376192192825954,20.198670742638633,3.9056420704952255,512,7.4,7.4,7.507692307692308,2005.0,7.0,2000.0,0,0,1,3,3,1,Tangled
7.3,280000000,1405403694,134.279229,141.0,6767,1125403694,5.019298907142857,19.450300164704952,21.063590425863644,4.907341005283723,394,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Avengers: Age of Ultron
7.4,250000000,933959197,98.885637,153.0,5293,683959197,3.735836788,19.33697147982652,20.65494331001405,4.604025901544294,174,7.4,7.533333333333334,7.4,2009.0,7.0,2000.0,1,1,1,3,2,1,Harry Potter and the Half-Blood Prince
5.7,250000000,873260194,155.790452,151.0,7004,623260194,3.493040776,19.33697147982652,20.587744116361193,5.054910213205119,375,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Batman v Superman: Dawn of Justice
5.4,270000000,391081192,57.925623,154.0,1400,121081192,1.4484488592592593,19.413932520666354,19.784425751123838,4.076276021528289,308,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,0,3,3,1,Superman Returns
6.1,200000000,586090727,107.928811,106.0,2965,386090727,2.930453635,19.11382792951231,20.188985161495555,4.690694558768097,375,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Quantum of Solace
7.0,200000000,1065659812,145.847379,151.0,5246,865659812,5.32829906,19.11382792951231,20.78685998699344,4.989393809340984,129,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Pirates of the Caribbean: Dead Man's Chest
5.9,255000000,89289910,49.046956,149.0,2311,-165710090,0.3501565098039215,19.35677410704427,18.307399060740746,3.912961684730849,386,7.5,7.5,7.5200000000000005,2013.0,3.0,2010.0,1,0,1,3,1,1,The Lone Ranger
6.5,225000000,662845518,99.398009,143.0,6359,437845518,2.94598008,19.23161096461314,20.312052517984124,4.609142376383708,293,7.5,7.5,7.5200000000000005,2013.0,12.0,2010.0,1,0,1,3,0,1,Man of Steel
6.3,225000000,419651413,53.978602,150.0,1630,194651413,1.8651173911111112,19.23161096461314,19.854934957961998,4.006944054985661,437,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Chronicles of Narnia: Prince Caspian
7.4,220000000,1519557910,144.448633,143.0,11776,1299557910,6.907081409090909,19.20913810886209,21.14168528147379,4.979822986478345,297,7.4,7.266666666666667,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,The Avengers
6.4,380000000,1045713802,135.413856,136.0,4948,665713802,2.7518784263157894,19.755681813316283,20.76796555425219,4.915693323827812,411,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Pirates of the Caribbean: On Stranger Tides
6.2,225000000,624026776,52.035179,106.0,4160,399026776,2.773452337777778,19.23161096461314,20.25170383727199,3.9709554480813694,572,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Men in Black 3
7.1,250000000,956019788,120.965743,144.0,4760,706019788,3.824079152,19.33697147982652,20.678289170592233,4.803740210220969,414,7.5,7.5,7.5200000000000005,2014.0,10.0,2010.0,1,0,1,3,3,1,The Hobbit: The Battle of the Five Armies
6.5,215000000,752215857,89.866276,136.0,6586,537215857,3.4986784046511628,19.186148590743098,20.438533885937286,4.509388931245389,638,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Amazing Spider-Man
6.2,200000000,310669540,37.668301,140.0,1398,110669540,1.5533477,19.11382792951231,19.554240336084877,3.6550201687863995,266,7.5,7.5,7.5200000000000005,2010.0,12.0,2010.0,1,0,1,3,0,1,Robin Hood
7.6,250000000,958400000,94.370564,161.0,4524,708400000,3.8336,19.33697147982652,20.680775786368866,4.5577699773827085,191,7.74,7.6,7.3,2013.0,11.0,2010.0,1,0,1,3,3,1,The Hobbit: The Desolation of Smaug
5.8,180000000,372234864,42.990906,113.0,1303,192234864,2.067971466666666,19.00846741441004,19.73503557054199,3.783982930738449,221,7.5,7.5,7.5200000000000005,2007.0,4.0,2000.0,1,0,1,3,1,1,The Golden Compass
6.6,207000000,550000000,61.22601,187.0,2337,343000000,2.657004830917874,19.14822935606056,20.125428838008972,4.130773079540168,216,6.6,6.6,6.6,2005.0,7.0,2000.0,0,0,1,3,3,1,King Kong
7.5,200000000,1845034188,100.025899,194.0,7562,1645034188,9.22517094,19.11382792951231,21.33576364489052,4.6153769097123725,681,7.4799999999999995,7.6875,7.552631578947368,2005.0,7.0,2000.0,0,0,1,3,3,1,Titanic
7.1,250000000,1153304495,198.372395,147.0,7241,903304495,4.61321798,19.33697147982652,20.865897133567135,5.295174407623029,295,7.35,7.35,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Captain America: Civil War
5.5,209000000,303025485,64.928382,131.0,2114,94025485,1.4498827033492825,19.157844814713773,19.52932747214763,4.188569031644029,539,7.5,7.5,7.5200000000000005,2012.0,11.0,2010.0,1,0,1,3,3,1,Battleship
6.5,150000000,1513528810,418.708552,124.0,8662,1363528810,10.090192066666669,18.826145858727198,21.137709722254115,6.039560546591324,175,7.5,7.5,7.5200000000000005,2015.0,9.0,2010.0,1,0,1,3,3,1,Jurassic World
6.9,200000000,1108561013,93.004993,143.0,7604,908561013,5.542805065,19.11382792951231,20.826328627454465,4.543347897880621,544,7.366666666666667,7.133333333333333,7.075,2005.0,7.0,2000.0,0,0,1,3,3,1,Skyfall
6.7,200000000,783766341,35.149586,127.0,4321,583766341,3.918831705,19.11382792951231,20.47962150073071,3.587665496257038,328,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Spider-Man 2
6.8,200000000,1215439994,77.68208,130.0,8806,1015439994,6.07719997,19.11382792951231,20.91837198398605,4.365415429368683,136,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Iron Man 3
6.4,200000000,1025491110,78.530105,108.0,4645,825491110,5.12745555,19.11382792951231,20.748437467472296,4.376135629224679,626,7.5,7.5,7.5200000000000005,2010.0,3.0,2010.0,1,0,1,3,1,1,Alice in Wonderland
6.3,210000000,459359555,3.857526,104.0,3525,249359555,2.187426452380953,19.162618093443648,19.94534380777439,1.58052925480274,169,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,X-Men: The Last Stand
7.0,200000000,743559607,89.186492,104.0,3528,543559607,3.717798035,19.11382792951231,20.426959492809576,4.501879659756453,144,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Monsters University
6.0,150000000,836297228,21.939663,150.0,3138,686297228,5.575314853333333,18.826145858727198,20.544494644941985,3.13286742109637,186,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers: Revenge of the Fallen
5.8,210000000,1091405097,116.840296,165.0,3095,881405097,5.1971671285714285,19.162618093443648,20.810731783770184,4.769330284031736,437,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers: Age of Extinction
5.7,200000000,491868548,46.985445,130.0,3530,291868548,2.45934274,19.11382792951231,20.013722061929226,3.8708977357579646,209,7.5,7.5,7.5200000000000005,2013.0,7.0,2010.0,1,1,1,3,2,1,Oz: The Great and Powerful
6.5,200000000,705717432,89.270217,142.0,4179,505717432,3.52858716,19.11382792951231,20.374725478797583,4.502807583206587,471,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Amazing Spider-Man 2
6.3,170000000,400062763,73.79505,125.0,2841,230062763,2.3533103705882352,18.951309000896888,19.80713200276317,4.314751706320084,249,7.5,7.5,7.5200000000000005,2010.0,10.0,2010.0,1,0,1,3,3,1,TRON: Legacy
5.8,200000000,559852396,49.98659,106.0,2033,359852396,2.79926198,19.11382792951231,20.14318373016529,3.9315626569727633,239,7.5,7.5,7.5200000000000005,2011.0,11.0,2010.0,1,0,1,3,3,1,Cars 2
5.1,200000000,219851172,51.872839,114.0,2487,19851172,1.09925586,19.11382792951231,19.208461389032852,3.9678897665548822,365,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Green Lantern
