genre,success_rate,movie_count
"Action, Adventure",7.5200000000000005,5
"Action, Adventure, Comedy",7.6000000000000005,3
"Action, Adventure, Drama",7.527272727272727,11
"Action, Adventure, Family",7.4,1
"Action, Adventure, Fantasy",7.6000000000000005,3
"Action, Adventure, Horror",6.8,1
"Action, Adventure, Mystery",7.0,1
"Action, Adventure, Sci-Fi",7.45625,16
"Action, Adventure, Thriller",7.075,4
"Action, Adventure, Western",7.6,1
"Action, Biography, Crime",7.2,1
"Action, Biography, Drama",7.550000000000001,2
"Action, Comedy, Crime",7.3,2
"Action, Comedy, Fantasy",6.449999999999999,2
"Action, Comedy, Mystery",7.4,1
"Action, Crime, Drama",7.336363636363637,11
"Action, Crime, Mystery",7.1,1
"Action, Crime, Thriller",7.4,2
"Action, Drama",7.15,2
"Action, Drama, History",7.2,1
"Action, Drama, Mystery",7.25,2
"Action, Drama, Sci-Fi",7.7,1
"Action, Drama, Sport",7.7,1
"Action, Mystery, Thriller",7.266666666666667,3
"Action, Sci-Fi",7.633333333333333,3
"Action, Sci-Fi, Thriller",7.6,2
"Action, Thriller",7.35,2
"Adventure, Biography, Crime",7.6,1
"Adventure, Biography, Drama",7.633333333333333,3
"Adventure, Comedy, Crime",7.65,2
"Adventure, Comedy, Drama",7.333333333333333,3
"Adventure, Comedy, Family",7.0,1
"Adventure, Comedy, Fantasy",7.5,2
"Adventure, Comedy, Sci-Fi",7.7,2
"Adventure, Drama",7.8,1
"Adventure, Drama, Fantasy",7.4,2
"Adventure, Drama, History",7.025,4
"Adventure, Drama, Romance",7.5,1
"Adventure, Drama, Sci-Fi",7.7,3
"Adventure, Drama, Thriller",7.6,2
"Adventure, Drama, War",7.800000000000001,2
"Adventure, Drama, Western",7.6,1
"Adventure, Family, Fantasy",7.459999999999999,5
"Adventure, Fantasy",7.3,2
"Adventure, Horror, Sci-Fi",6.6,1
"Adventure, Sci-Fi",6.75,2
"Adventure, Thriller",7.5,1
"Animation, Action, Adventure",7.566666666666666,6
"Animation, Action, Sci-Fi",7.8,1
"Animation, Adventure, Comedy",7.507692307692308,13
"Animation, Adventure, Drama",8.0,1
"Animation, Adventure, Family",7.2,3
"Animation, Biography, Drama",7.7,1
"Animation, Comedy, Crime",7.1,1
"Animation, Comedy, Fantasy",7.1,1
"Animation, Drama, Family",7.3,1
"Animation, Family, Fantasy",7.2,1
"Biography, Comedy, Drama",7.333333333333333,3
"Biography, Crime, Drama",7.611111111111111,9
"Biography, Drama",7.666666666666667,6
"Biography, Drama, Family",7.433333333333334,3
"Biography, Drama, History",7.553333333333333,15
"Biography, Drama, Music",7.459999999999999,5
"Biography, Drama, Romance",7.8,1
"Biography, Drama, Sport",7.285714285714286,7
"Biography, Drama, Thriller",7.466666666666666,3
"Biography, Drama, War",7.3,1
Comedy,7.457142857142857,7
"Comedy, Crime",7.0,3
"Comedy, Crime, Drama",7.45,4
"Comedy, Crime, Sport",7.8,1
"Comedy, Drama",7.57,10
"Comedy, Drama, Family",7.1000000000000005,3
"Comedy, Drama, Fantasy",7.55,2
"Comedy, Drama, Music",7.4,1
"Comedy, Drama, Romance",7.372727272727272,11
"Comedy, Family",7.25,2
"Comedy, Family, Fantasy",7.4,1
"Comedy, Fantasy, Romance",7.4,2
"Comedy, Horror",7.5,1
"Comedy, Music, Musical",7.3,1
"Comedy, Music, Romance",8.0,1
"Comedy, Musical, Romance",7.8,1
"Comedy, Romance",7.75,2
"Comedy, Western",7.2,1
"Crime, Drama",7.871428571428572,14
"Crime, Drama, Fantasy",8.2,1
"Crime, Drama, Musical",7.6,1
"Crime, Drama, Mystery",7.577777777777778,9
"Crime, Drama, Romance",7.5,1
"Crime, Drama, Thriller",7.478571428571429,14
"Crime, Mystery, Thriller",8.1,1
"Crime, Thriller",7.2,2
Drama,7.666666666666667,30
"Drama, Family, Fantasy",8.0,1
"Drama, Family, Musical",7.400000000000001,3
"Drama, Fantasy, Mystery",7.4,2
"Drama, Fantasy, Romance",7.4,2
"Drama, Fantasy, War",7.6,1
"Drama, Film-Noir",7.4,1
"Drama, History",7.3,1
"Drama, History, Romance",7.7,1
"Drama, History, Thriller",7.35,2
"Drama, History, War",7.2,4
"Drama, Horror",7.8,2
"Drama, Music",7.8500000000000005,2
"Drama, Music, Musical",7.3,1
"Drama, Music, Romance",7.3,1
"Drama, Mystery, Romance",7.550000000000001,2
"Drama, Mystery, Sci-Fi",7.75,4
"Drama, Mystery, Thriller",7.75,4
"Drama, Mystery, War",7.95,2
"Drama, Romance",7.552631578947368,19
"Drama, Romance, Sci-Fi",7.9,2
"Drama, Romance, Thriller",7.3,1
"Drama, Romance, War",7.525,4
"Drama, Sci-Fi",6.975,4
"Drama, Sci-Fi, Thriller",7.425,4
"Drama, Sport",7.4799999999999995,5
"Drama, Thriller",7.228571428571429,7
"Drama, Thriller, Western",7.6,1
"Drama, War",7.6,5
"Drama, Western",7.525,4
"Family, Fantasy, Musical",7.4,1
"Family, Sci-Fi",7.3,1
Horror,7.5,1
"Horror, Mystery, Sci-Fi",7.8,1
"Horror, Mystery, Thriller",7.6000000000000005,3
"Horror, Sci-Fi",7.9,1
"Horror, Thriller",7.45,2
"Mystery, Sci-Fi, Thriller",7.2,1
"Mystery, Thriller",7.949999999999999,2
Western,8.1,1
